Vendor,"GRAPHTEC Corporation"
Model,"GL220"
Version,"Ver1.05  "
Sampling interval,2s
Total data points,639       
Start time,2015-05-29,13:50:12
End time,2015-05-29,14:11:28
Trigger time,2015-05-29,13:50:12
AMP settings
CH,Signal name,Input,Range,Filter,Span
CH1," CH 1",TEMP,TC_K,Off,+440.0,+140.0,[degF]
Logic/Pulse,Off
Data
Number,Date&Time,ms,CH1,Alarm1  -10 ,Alarm Out
NO.,Time, ms,"degF","A12345678910","AO1234"
         1,2015/05/29 13:50:12,  0,+195.1,LLLLLLLLLL,LLLL
         2,2015/05/29 13:50:14,  0,+195.1,LLLLLLLLLL,LLLL
         3,2015/05/29 13:50:16,  0,+195.3,LLLLLLLLLL,LLLL
         4,2015/05/29 13:50:18,  0,+195.4,LLLLLLLLLL,LLLL
         5,2015/05/29 13:50:20,  0,+195.6,LLLLLLLLLL,LLLL
         6,2015/05/29 13:50:22,  0,+195.8,LLLLLLLLLL,LLLL
         7,2015/05/29 13:50:24,  0,+195.8,LLLLLLLLLL,LLLL
         8,2015/05/29 13:50:26,  0,+195.8,LLLLLLLLLL,LLLL
         9,2015/05/29 13:50:28,  0,+195.8,LLLLLLLLLL,LLLL
        10,2015/05/29 13:50:30,  0,+196.2,LLLLLLLLLL,LLLL
        11,2015/05/29 13:50:32,  0,+195.8,LLLLLLLLLL,LLLL
        12,2015/05/29 13:50:34,  0,+195.8,LLLLLLLLLL,LLLL
        13,2015/05/29 13:50:36,  0,+196.0,LLLLLLLLLL,LLLL
        14,2015/05/29 13:50:38,  0,+196.0,LLLLLLLLLL,LLLL
        15,2015/05/29 13:50:40,  0,+196.2,LLLLLLLLLL,LLLL
        16,2015/05/29 13:50:42,  0,+196.0,LLLLLLLLLL,LLLL
        17,2015/05/29 13:50:44,  0,+196.0,LLLLLLLLLL,LLLL
        18,2015/05/29 13:50:46,  0,+196.2,LLLLLLLLLL,LLLL
        19,2015/05/29 13:50:48,  0,+196.2,LLLLLLLLLL,LLLL
        20,2015/05/29 13:50:50,  0,+196.2,LLLLLLLLLL,LLLL
        21,2015/05/29 13:50:52,  0,+196.2,LLLLLLLLLL,LLLL
        22,2015/05/29 13:50:54,  0,+196.2,LLLLLLLLLL,LLLL
        23,2015/05/29 13:50:56,  0,+196.2,LLLLLLLLLL,LLLL
        24,2015/05/29 13:50:58,  0,+196.3,LLLLLLLLLL,LLLL
        25,2015/05/29 13:51:00,  0,+196.2,LLLLLLLLLL,LLLL
        26,2015/05/29 13:51:02,  0,+196.2,LLLLLLLLLL,LLLL
        27,2015/05/29 13:51:04,  0,+196.2,LLLLLLLLLL,LLLL
        28,2015/05/29 13:51:06,  0,+196.2,LLLLLLLLLL,LLLL
        29,2015/05/29 13:51:08,  0,+196.2,LLLLLLLLLL,LLLL
        30,2015/05/29 13:51:10,  0,+196.2,LLLLLLLLLL,LLLL
        31,2015/05/29 13:51:12,  0,+196.2,LLLLLLLLLL,LLLL
        32,2015/05/29 13:51:14,  0,+196.2,LLLLLLLLLL,LLLL
        33,2015/05/29 13:51:16,  0,+196.3,LLLLLLLLLL,LLLL
        34,2015/05/29 13:51:18,  0,+196.3,LLLLLLLLLL,LLLL
        35,2015/05/29 13:51:20,  0,+196.3,LLLLLLLLLL,LLLL
        36,2015/05/29 13:51:22,  0,+196.3,LLLLLLLLLL,LLLL
        37,2015/05/29 13:51:24,  0,+196.5,LLLLLLLLLL,LLLL
        38,2015/05/29 13:51:26,  0,+196.7,LLLLLLLLLL,LLLL
        39,2015/05/29 13:51:28,  0,+196.9,LLLLLLLLLL,LLLL
        40,2015/05/29 13:51:30,  0,+196.7,LLLLLLLLLL,LLLL
