Vendor,"GRAPHTEC Corporation"
Model,"GL220"
Version,"Ver1.05  "
Sampling interval,2s
Total data points,764       
Start time,2015-06-02,13:04:17
End time,2015-06-02,13:29:44
Trigger time,2015-06-02,13:04:17
AMP settings
CH,Signal name,Input,Range,Filter,Span
CH1," CH 1",TEMP,TC_K,Off,+440.0,+140.0,[degF]
CH2," CH 2",TEMP,TC_K,Off,+2000.0,-200.0,[degF]
CH3," CH 3",TEMP,TC_K,Off,+3000.0,-200.0,[degF]
Logic/Pulse,Off
Data
Number,Date&Time,ms,CH1,CH2,CH3,Alarm1  -10 ,Alarm Out
NO.,Time, ms,"degF","degF","degF","A12345678910","AO1234"
         1,2015/06/02 13:04:17,  0,+195.3,+98.4,+167.0,LLLLLLLLLL,LLLL
         2,2015/06/02 13:04:19,  0,+195.6,+99.3,+167.9,LLLLLLLLLL,LLLL
         3,2015/06/02 13:04:21,  0,+195.6,+100.4,+167.7,LLLLLLLLLL,LLLL
         4,2015/06/02 13:04:23,  0,+195.6,+101.1,+168.6,LLLLLLLLLL,LLLL
         5,2015/06/02 13:04:25,  0,+195.6,+102.2,+169.0,LLLLLLLLLL,LLLL
         6,2015/06/02 13:04:27,  0,+195.6,+102.9,+168.1,LLLLLLLLLL,LLLL
         7,2015/06/02 13:04:29,  0,+195.8,+103.8,+168.6,LLLLLLLLLL,LLLL
         8,2015/06/02 13:04:31,  0,+195.6,+104.7,+167.7,LLLLLLLLLL,LLLL
         9,2015/06/02 13:04:33,  0,+195.6,+105.1,+166.8,LLLLLLLLLL,LLLL
        10,2015/06/02 13:04:35,  0,+195.8,+105.6,+165.7,LLLLLLLLLL,LLLL
        11,2015/06/02 13:04:37,  0,+196.0,+106.2,+165.2,LLLLLLLLLL,LLLL
        12,2015/06/02 13:04:39,  0,+196.3,+106.5,+164.8,LLLLLLLLLL,LLLL
        13,2015/06/02 13:04:41,  0,+196.5,+106.7,+164.7,LLLLLLLLLL,LLLL
        14,2015/06/02 13:04:43,  0,+196.3,+107.4,+165.0,LLLLLLLLLL,LLLL
        15,2015/06/02 13:04:45,  0,+196.0,+108.0,+164.5,LLLLLLLLLL,LLLL
        16,2015/06/02 13:04:47,  0,+195.8,+108.7,+164.3,LLLLLLLLLL,LLLL
        17,2015/06/02 13:04:49,  0,+195.8,+109.6,+164.8,LLLLLLLLLL,LLLL
        18,2015/06/02 13:04:51,  0,+195.6,+110.1,+163.6,LLLLLLLLLL,LLLL
        19,2015/06/02 13:04:53,  0,+195.4,+111.0,+164.7,LLLLLLLLLL,LLLL
        20,2015/06/02 13:04:55,  0,+195.3,+111.9,+164.7,LLLLLLLLLL,LLLL
        21,2015/06/02 13:04:57,  0,+194.9,+112.8,+164.8,LLLLLLLLLL,LLLL
        22,2015/06/02 13:04:59,  0,+194.7,+113.5,+164.1,LLLLLLLLLL,LLLL
        23,2015/06/02 13:05:01,  0,+194.9,+114.6,+164.7,LLLLLLLLLL,LLLL
